SPPI, phase6, 2009-09-04,
JAZZ, phase6, 2010-10-11,
ASRT, phase6, 2011-01-28,
SPPI, phase6, 2011-04-29,
ASRT, phase6, 2011-04-29,
PFE, phase6, 2011-08-19,
TAK, phase6, 2011-08-19,
PCRX, phase6, 2011-10-31,
INCY, phase6, 2011-11-16,
HALO, phase6, 2011-12-08,
CRIS, phase6, 2012-01-30,
CORT, phase6, 2012-02-17,
PTPI, phase6, 2012-04-27,
PLX, phase6, 2012-05-01,
EBS, phase6, 2012-05-17,
RGEN, phase6, 2012-06-22,
SUPN, phase6, 2012-10-22,
EXEL, phase6, 2012-11-29,
TAK, phase6, 2012-11-29,
AIM, phase6, 2013-02-04,
NAVB, phase6, 2013-03-13,
ASRT, phase6, 2013-05-31,
AVDL, phase6, 2013-06-03,
TBPH, phase6, 2013-06-21,
SUPN, phase6, 2013-08-19,
HALO, phase6, 2013-10-14,
ABBV, phase6, 2013-11-13,
JNJ, phase6, 2013-12-31,
DRRX, phase6, 2014-02-12,
ABBV, phase6, 2014-02-12,
BMRN, phase6, 2014-02-14,
ENDP, phase6, 2014-03-06,
NVS, phase6, 2014-04-30,
OMER, phase6, 2014-06-02,
COLL, phase6, 2014-06-06,
NAVB, phase6, 2014-06-13,
MNKD, phase6, 2014-06-27,
AVDL, phase6, 2014-06-30,
EGRX, phase6, 2014-07-02,
SPPI, phase6, 2014-07-07,
ASRT, phase6, 2014-07-07,
EGRX, phase6, 2014-07-23,
NVS, phase6, 2014-08-06,
AKBA, phase6, 2014-09-05,
HALO, phase6, 2014-09-12,
NKTR, phase6, 2014-09-16,
ALIM, phase6, 2014-09-26,
EYPT, phase6, 2014-09-26,
LNTH, phase6, 2014-09-29,
INCY, phase6, 2014-12-04,
ABBV, phase6, 2014-12-19,
ENTA, phase6, 2014-12-19,
BCRX, phase6, 2014-12-22,
VRTX, phase6, 2014-12-29,
RMTI, phase6, 2015-01-26,
ABBV, phase6, 2015-01-29,
VRTX, phase6, 2015-03-17,
EBS, phase5, 2015-03-25,
AMGN, phase6, 2015-04-15,
JNJ, phase6, 2015-04-16,
TBPH, phase6, 2015-04-30,
MNKKQ, phase6, 2015-04-30,
NVS, phase6, 2015-04-30,
VRTX, phase6, 2015-07-02,
PFE, phase6, 2015-08-17,
TAK, phase6, 2015-08-17,
MACK, phase6, 2015-10-22,
COLL, phase6, 2015-10-25,
COLL, phase6, 2015-10-26,
ENDP, phase6, 2015-10-26,
EXEL, phase6, 2015-11-10,
NKTR, phase6, 2015-11-16,
EBS, phase6, 2015-11-24,
EGRX, phase6, 2015-12-24,
BMRN, phase6, 2016-01-14,
AYTU, phase6, 2016-01-27,
VRTX, phase6, 2016-02-05,
SPPI, phase6, 2016-03-15,
ASRT, phase6, 2016-03-15,
EGRX, phase6, 2016-03-18,
EXEL, phase6, 2016-04-25,
ACAD, phase6, 2016-04-29,
AVDL, phase6, 2016-05-02,
TTNP, phase6, 2016-05-26,
VNDA, phase6, 2016-05-26,
OPK, phase6, 2016-06-21,
CLVS, phase6, 2016-06-28,
LNTH, phase6, 2016-07-19,
HRTX, phase6, 2016-08-10,
GSK, phase6, 2016-09-02,
SRPT, phase6, 2016-09-19,
VCEL, phase6, 2016-12-13,
CLVS, phase6, 2016-12-19,
IONS, phase6, 2016-12-23,
AMPH, phase6, 2016-12-27,
ABBV, phase6, 2017-01-19,
IRWD, phase6, 2017-01-26,
AMGN, phase6, 2017-02-07,
BHC, phase6, 2017-02-15,
BMY, phase6, 2017-02-22,
AZN, phase6, 2017-02-28,
MRK, phase6, 2017-03-01,
NVS, phase6, 2017-03-13,
MRK, phase6, 2017-03-14,
PFE, phase6, 2017-03-23,
GSK, phase6, 2017-03-27,
REGN, phase6, 2017-03-28,
SNY, phase6, 2017-03-28,
AZN, phase6, 2017-03-31,
PFE, phase6, 2017-03-31,
SUPN, phase6, 2017-04-05,
MRK, phase6, 2017-04-07,
NBIX, phase6, 2017-04-11,
MRK, phase6, 2017-04-21,
REGN, phase6, 2017-04-25,
SNY, phase6, 2017-04-25,
BMRN, phase6, 2017-04-27,
NVS, phase6, 2017-04-28,
PFE, phase6, 2017-05-09,
MRK, phase6, 2017-05-10,
MRK, phase6, 2017-05-18,
REGN, phase6, 2017-05-22,
SNY, phase6, 2017-05-22,
MRK, phase6, 2017-05-23,
NVS, phase6, 2017-05-26,
MRK, phase6, 2017-05-30,
NVO, phase6, 2017-05-31,
ALKS, phase6, 2017-06-06,
ADMP, phase6, 2017-06-15,
JNJ, phase6, 2017-06-16,
GMAB, phase6, 2017-06-16,
AYTU, phase6, 2017-06-19,
PFE, phase6, 2017-06-22,
HALO, phase6, 2017-06-22,
NVS, phase6, 2017-06-22,
AZN, phase6, 2017-06-23,
AMGN, phase6, 2017-06-29,
BMY, phase6, 2017-07-06,
AMGN, phase6, 2017-07-11,
JNJ, phase6, 2017-07-13,
PBYI, phase6, 2017-07-17,
GILD, phase6, 2017-07-18,
GSK, phase6, 2017-07-21,
AGIO, phase6, 2017-08-01,
BMY, phase6, 2017-08-01,
JNJ, phase6, 2017-08-02,
ABBV, phase6, 2017-08-02,
ABBV, phase6, 2017-08-03,
ENTA, phase6, 2017-08-03,
AZN, phase6, 2017-08-17,
PFE, phase6, 2017-08-17,
IRWD, phase6, 2017-08-21,
NVO, phase6, 2017-08-25,
KMDA, phase6, 2017-08-25,
AZN, phase6, 2017-08-28,
NVS, phase6, 2017-08-29,
NVS, phase6, 2017-08-30,
PFE, phase6, 2017-09-01,
AMGN, phase6, 2017-09-14,
ABBV, phase6, 2017-09-14,
AYTU, phase6, 2017-09-15,
OPTN, phase6, 2017-09-17,
GSK, phase6, 2017-09-18,
INVA, phase6, 2017-09-18,
BCRX, phase6, 2017-09-21,
JNJ, phase6, 2017-09-22,
ABBV, phase6, 2017-10-03,
LLY, phase6, 2017-10-04,
VTRS, phase6, 2017-10-04,
NBIX, phase6, 2017-10-05,
PFE, phase6, 2017-10-12,
JNJ, phase6, 2017-10-13,
GSK, phase6, 2017-10-20,
JNJ, phase6, 2017-10-20,
AZN, phase6, 2017-10-23,
GSK, phase6, 2017-10-26,
EGRX, phase6, 2017-10-27,
AZN, phase6, 2017-10-31,
BHC, phase6, 2017-11-02,
COLL, phase6, 2017-11-07,
AKBA, phase6, 2017-11-07,
PFE, phase6, 2017-11-09,
MRK, phase6, 2017-11-09,
DVAX, phase6, 2017-11-09,
BMY, phase6, 2017-11-10,
ABBV, phase6, 2017-11-13,
AZN, phase6, 2017-11-14,
RARE, phase6, 2017-11-15,
PFE, phase6, 2017-11-16,
GSK, phase6, 2017-11-21,
LLY, phase6, 2017-12-01,
VTRS, phase6, 2017-12-01,
NVO, phase6, 2017-12-05,
SNY, phase6, 2017-12-11,
MDT, phase6, 2017-12-11,
GSK, phase6, 2017-12-12,
PFE, phase6, 2017-12-13,
PFE, phase6, 2017-12-14,
ACRS, phase6, 2017-12-15,
ALC, phase6, 2017-12-18,
EXEL, phase6, 2017-12-19,
PFE, phase6, 2017-12-19,
MRK, phase6, 2017-12-20,
PFE, phase6, 2017-12-20,
BMY, phase6, 2017-12-20,
AEZS, phase6, 2017-12-20,
INVA, phase6, 2017-12-21,
BHC, phase6, 2017-12-22,
AMGN, phase6, 2018-01-05,
AZN, phase6, 2018-01-12,
MRK, phase6, 2018-01-12,
TEVA, phase6, 2018-01-15,
LGND, phase6, 2018-01-17,
AMGN, phase6, 2018-01-17,
NVS, phase6, 2018-01-26,
JNJ, phase6, 2018-02-08,
NVS, phase6, 2018-02-08,
JNJ, phase6, 2018-02-14,
ZVRA, phase6, 2018-02-23,
SRNE, phase6, 2018-02-28,
LLY, phase6, 2018-03-26,
PFE, phase6, 2018-04-04,
TAK, phase6, 2018-04-04,
BMY, phase6, 2018-04-04,
CLVS, phase6, 2018-04-06,
