PRTA, phase1, 2017-09-28, 
AZN, phase1, 2017-11-10, 
INO, phase1, 2017-11-10, 
PFE, phase1, 2017-12-11, 
FBIO, phase1, 2017-12-11, 
GLYC, phase1, 2017-12-12, 
SAGE, phase1, 2018-01-31, 
AFMD, phase1, 2018-02-01, 
IMMP, phase1, 2018-05-30, 
AGIO, phase1, 2018-06-01, 
AGEN, phase1, 2018-06-04, 
MEIP, phase1, 2018-06-04, 
TCRT, phase1, 2018-06-18, 
TTNP, phase1, 2018-07-02, 
PULM, phase1, 2018-07-17, 
MRSN, phase1, 2018-07-19, 
ATOS, phase1, 2018-09-13, 
GALT, phase1, 2018-09-20, 
FBIO, phase1, 2018-09-25, 
CKPT, phase1, 2018-09-25, 
CDXS, phase1, 2018-11-08, 
INFI, phase1, 2018-11-10, 
EBS, phase1, 2018-11-19, 
LPTX, phase1, 2018-12-14, 
NKTR, phase1, 2019-03-01, 
SNDX, phase1, 2019-03-07, 
FBIO, phase1, 2019-04-17, 
MBIO, phase1, 2019-04-17, 
SNY, phase1, 2019-05-08, 
MGTX, phase1, 2019-05-14, 
CLDX, phase1, 2019-06-01, 
BLCM, phase1, 2019-07-08, 
MRKR, phase1, 2019-07-19, 
LPTX, phase1, 2019-08-06, 
SYBX, phase1, 2019-08-20, 
INO, phase1, 2019-11-05, 
PIRS, phase1, 2019-11-09, 
BMY, phase1, 2019-11-09, 
NKTR, phase1, 2019-11-09, 
BMY, phase1, 2020-02-15, 
VCNX, phase1, 2020-04-27, 
CRVS, phase1, 2020-05-29, 
BGNE, phase1, 2020-06-12, 
ITCI, phase1, 2020-06-29, 
RGNX, phase1, 2020-08-06, 
BGNE, phase1, 2020-09-17, 
MGTX, phase1, 2020-10-03, 
SIOX, phase1, 2020-10-06, 
BMY, phase1, 2020-10-25, 
FIXX, phase1, 2020-11-06, 
FATE, phase1, 2020-12-04, 
CRDF, phase1, 2020-12-06, 
AFMD, phase1, 2020-12-07, 
RCUS, phase1, 2020-12-09, 
INFI, phase1, 2020-12-09, 
ARCT, phase1, 2020-12-28, 
NBTX, phase1, 2021-01-15, 
AGEN, phase1, 2021-02-09, 
ABEO, phase1, 2021-02-12, 
APLS, phase1, 2021-03-04, 
SNY, phase1, 2021-03-17, 
PRQR, phase1, 2021-03-24, 
